CustomerID,Name,Location,Gender,Age,Average Purchase ($),Frequency (for visits), purchased at Starbucks
1,Stephanie Alvarez,Sheilaport,Male,19,15,39,Coffee
2,Casey Diaz,Dixonport,Male,21,15,81,Cold drinks;Pastries
3,John Barrett,Gregoryburgh,Female,20,16,6,Coffee
4,Sara Beck,North David,Female,23,16,77,Coffee
5,Tracey Kim,Williamsonshire,Female,31,17,40,Coffee;Sandwiches
6,Kelly Ho,Shepherdside,Female,22,17,76,Cold drinks
7,Karen Brady,Brennanland,Female,35,18,6,Coffee
8,Monica Burnett,Chapmanview,Female,23,18,94,Coffee;Cold drinks
9,Erica Woods,Smithshire,Male,64,19,3,Cold drinks
10,James Turner,Paulaborough,Female,30,19,72,Coffee
11,Nicholas Savage,East Christopherfurt,Male,67,19,14,Cold drinks
12,Rhonda Chavez,Banksport,Female,35,19,99,Coffee
13,Nicole Mcdaniel,Parrishside,Female,58,20,15,Coffee;Sandwiches
14,Samuel Dickerson,Rileyburgh,Female,24,20,77,Coffee
15,Zachary Sullivan,Joeltown,Male,37,20,13,Coffee
16,Mrs. Kathleen Oneal,Scottmouth,Male,22,20,79,Coffee
17,Matthew Kennedy,New Patricia,Female,35,21,35,Coffee
18,Heather Harris,East Barry,Male,20,21,66,Coffee
19,Andrew Watson,New Vincent,Male,52,23,29,Coffee
20,Paul Peterson,Thomasview,Female,35,23,98,Cold drinks
21,Cory Brown,East Charles,Male,35,24,35,Coffee
22,Molly Cruz,Port Carla,Male,25,24,73,Coffee
23,Gerald Johnston,Bensonburgh,Female,46,25,5,Coffee
24,Elijah Barnett,East Jamesstad,Male,31,25,73,Cold drinks;Pastries;Sandwiches
25,Stephen Lozano,North Benjamin,Female,54,28,14,Coffee;Juices;Pastries;Sandwiches
26,Christina Hunter,Fordland,Male,29,28,82,Coffee;Cold drinks
27,Paul Taylor,New Christopher,Female,45,28,32,Coffee
28,Samantha Wells,South Joyce,Male,35,28,61,Coffee
29,Dawn Nelson,South Kaylaberg,Female,40,29,31,Coffee
30,James White,North Ryanton,Female,23,29,87,Coffee
31,Angela Williamson,Jordanmouth,Male,60,30,4,Coffee;Pastries;Sandwiches
32,Veronica Moses,Laurenport,Female,21,30,73,Coffee;Pastries
33,Debra Hamilton,Lake Laurie,Male,53,33,4,Coffee
34,Stacie Oliver DVM,Raymondview,Male,18,33,92,Coffee
35,Jason Moore,South Anthonytown,Female,49,33,14,Coffee
36,Gary Joyce,Timothybury,Female,21,33,81,Coffee
37,Ashley Page,Mcdonaldchester,Female,42,34,17,Cold drinks
38,John Bush,Melaniemouth,Female,30,34,73,Coffee
39,David Williams,Brettbury,Female,36,37,26,Cold drinks;Juices;Pastries
40,Kerry Santos,Russellmouth,Female,20,37,75,Coffee
41,Shawn Williams,South Dariusburgh,Female,65,38,35,Coffee
42,Catherine White,Andersonfurt,Male,24,38,92,Coffee
43,Michael May,Bradton,Male,48,39,36,Coffee
44,Calvin Allison,Robinsonton,Female,31,39,61,Coffee;Pastries
45,Bryan Palmer,Seanberg,Female,49,39,28,Coffee
46,Joseph Carter,North Johnbury,Female,24,39,65,Coffee;Pastries
47,Matthew Yang,Bradyfurt,Female,50,40,55,Cold drinks
48,Veronica Young,West Mark,Female,27,40,47,Coffee
49,Angela Ford,Kellyshire,Female,29,40,42,Cold drinks
50,Gary Martin,East Jennifer,Female,31,40,42,Cold drinks
51,Bradley James,Jerryview,Female,49,42,52,Coffee
52,Susan Quinn,Bobbyfort,Male,33,42,60,Cold drinks
53,James Williams,South Julie,Female,31,43,54,Cold drinks;Juices;Pastries
54,Sarah Schultz,North Denisefort,Male,59,43,60,Coffee
55,Megan Crawford,North Bryan,Female,50,43,45,Coffee
56,Austin Williams,Port Christychester,Male,47,43,41,Coffee
57,Caitlyn Marks,Santiagoburgh,Female,51,44,50,Coffee;Cold drinks
58,Michelle Lopez,Alexfort,Male,69,44,46,Coffee
